name	electrode	contact	csc	x	y	z	status
A01	A	1	1	-6.47	-7.58	-11.57	located
A02	A	2	2	-5.122804262545101	-6.06192596756314	-8.222095345162362	located
A03	A	3	3	-3.7756085250902007	-4.543851935126281	-4.874190690324723	located
A04	A	4	4	-3.838412787635301	-3.0257779026894216	-1.5262860354870842	located
A05	A	5	5	-2.4912170501804014	-1.5077038702525627	1.8216186193505544	located
A06	A	6	6	-1.1440213127255017	-1.439629837815703	5.169523274188193	located
B01	B	1	7	5.53	-6.29	-9.43	located
B02	B	2	8	5.471687664302041	-5.119479440503402	-7.2240218739129265	located
B03	B	3	9	5.413375328604082	-3.9489588810068037	-3.6880437478258523	located
B04	B	4	10	3.9450629929061227	-2.778438321510205	-0.15206562173877863	located
B05	B	5	11	3.886750657208164	-3.0579177620136067	3.383912504348295	located
C01	C	1	12	-3.5300000000000002	6.21	-5.81	located
C02	C	2	13	-2.545865665719444	5.450472181301516	-2.891227671383939	located
C03	C	3	14	-0.15173133143888773	4.69094436260303	0.027544657232122516	located
C04	C	4	15	2.2424030028416677	3.931416543904545	1.6163169858481832	located
